"Genus","Species","ID","year","lat","long","elev","budburst","Colored leaves","flowers","Fruits","Increasing leaf size","leaf drop","leafout","Open flowers","Pollen release (flowers)","Recent fruit or seed drop","Ripe fruits","fruits","col.leaves","leafdrop","last.obs","gdd.start"
"Populus","deltoides",86281,2018,42.296417,-71.128052,26,117,236,117,131,124,236,118,124,NA,154,152,131,236,236,236,46
"Populus","deltoides",86282,2015,42.296417,-71.128052,26,NA,248,NA,NA,NA,248,138,NA,NA,NA,NA,NA,248,248,248,46
"Populus","deltoides",86282,2016,42.296417,-71.128052,26,84,229,101,NA,133,229,133,114,115,NA,NA,NA,229,229,229,46
"Populus","deltoides",86282,2017,42.296417,-71.128052,26,102,231,109,NA,120,236,120,109,110,NA,NA,NA,231,236,236,46
"Populus","deltoides",86282,2018,42.296417,-71.128052,26,117,236,112,NA,123,236,118,NA,NA,NA,NA,NA,236,236,236,46
"Quercus","alba",87756,2015,42.296417,-71.128052,26,NA,248,NA,NA,NA,248,144,NA,NA,279,NA,NA,248,248,248,46
"Quercus","alba",87756,2016,42.296417,-71.128052,26,115,148,NA,NA,133,291,133,NA,NA,247,NA,NA,148,291,291,46
"Quercus","alba",87756,2017,42.296417,-71.128052,26,109,288,NA,241,120,260,120,NA,NA,247,260,241,288,260,260,46
"Quercus","alba",87756,2018,42.296417,-71.128052,26,124,287,136,NA,124,276,124,136,136,251,NA,NA,287,276,276,46
"Quercus","alba",87758,2015,42.300278,-71.124771,30,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,46
"Quercus","alba",87758,2016,42.300278,-71.124771,30,115,282,130,NA,142,282,142,142,142,282,NA,NA,282,282,282,46
"Quercus","alba",87758,2017,42.300278,-71.124771,30,118,271,118,225,119,278,119,131,NA,264,257,225,271,278,278,46
"Quercus","alba",87758,2018,42.300278,-71.124771,30,122,274,122,177,129,279,126,136,136,258,258,177,274,279,279,46
"Quercus","alba",87759,2015,42.300278,-71.124771,30,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,46
"Quercus","alba",87759,2016,42.300278,-71.124771,30,127,282,142,NA,142,282,142,NA,NA,NA,NA,NA,282,282,282,46
"Quercus","alba",87759,2017,42.300278,-71.124771,30,110,267,127,228,132,288,124,132,NA,257,257,228,267,288,288,46
"Quercus","alba",87759,2018,42.300278,-71.124771,30,122,282,128,183,129,296,126,136,NA,282,282,183,282,296,296,46
"Quercus","alba",87761,2015,42.300278,-71.124771,30,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,46
"Quercus","alba",87761,2016,42.300278,-71.124771,30,115,282,NA,NA,142,303,142,NA,NA,304,NA,NA,282,303,303,46
"Quercus","alba",87761,2017,42.300278,-71.124771,30,117,291,131,266,124,300,124,NA,NA,264,266,266,291,300,300,46
"Quercus","alba",87761,2018,42.300278,-71.124771,30,122,282,131,282,126,282,123,136,NA,260,NA,282,282,282,282,46
"Quercus","alba",88311,2015,42.300278,-71.124771,30,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,46
"Quercus","alba",88311,2016,42.300278,-71.124771,30,115,279,142,NA,142,282,142,NA,NA,NA,NA,NA,279,282,282,46
"Quercus","alba",88311,2017,42.300278,-71.124771,30,110,257,127,207,131,285,119,127,NA,288,NA,207,257,285,285,46
"Quercus","alba",88311,2018,42.300278,-71.124771,30,122,282,128,183,129,282,123,131,135,282,282,183,282,282,282,46
"Quercus","rubra",86285,2015,42.300278,-71.124771,30,NA,252,NA,252,NA,NA,252,NA,NA,252,NA,252,252,NA,252,46
"Quercus","rubra",86285,2016,42.300278,-71.124771,30,115,282,NA,304,NA,282,130,NA,NA,243,304,304,282,282,282,46
"Quercus","rubra",86285,2017,42.300278,-71.124771,30,117,177,118,215,118,285,118,124,NA,242,264,215,177,285,285,46
"Quercus","rubra",86285,2018,42.300278,-71.124771,30,122,282,123,203,125,282,122,128,131,260,NA,203,282,282,282,46
"Quercus","rubra",86286,2015,42.300278,-71.124771,30,NA,278,NA,NA,NA,NA,252,NA,NA,278,278,NA,278,NA,278,46
"Quercus","rubra",86286,2016,42.300278,-71.124771,30,127,282,NA,NA,142,282,142,NA,NA,243,NA,NA,282,282,282,46
"Quercus","rubra",86286,2017,42.300278,-71.124771,30,119,270,NA,236,132,267,124,NA,NA,242,251,236,270,267,267,46
"Quercus","rubra",86286,2018,42.300278,-71.124771,30,122,282,128,NA,125,282,125,130,131,NA,NA,NA,282,282,282,46
"Quercus","rubra",86287,2015,42.300278,-71.124771,30,NA,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,NA,NA,NA,46
"Quercus","rubra",86287,2016,42.300278,-71.124771,30,115,282,115,NA,NA,282,127,115,NA,243,NA,NA,282,282,282,46
"Quercus","rubra",86287,2017,42.300278,-71.124771,30,110,272,117,264,113,291,113,NA,NA,NA,NA,264,272,291,291,46
"Quercus","rubra",86287,2018,42.300278,-71.124771,30,118,272,128,208,122,282,122,129,NA,251,250,208,272,282,282,46
"Quercus","rubra",86288,2015,42.300278,-71.124771,30,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,46
"Quercus","rubra",86288,2016,42.300278,-71.124771,30,115,289,NA,264,142,289,130,NA,NA,264,290,264,289,289,289,46
"Quercus","rubra",86288,2017,42.300278,-71.124771,30,110,271,NA,NA,127,267,119,NA,NA,264,NA,NA,271,267,267,46
